key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1027,1027,Project Jabberwocky,2003,01089,38.0,123.0,Massachusetts,2017,2017ne,1699.0,54126.0,"(42.12, -72.64)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [42.2744595, -71.8096745, '2017-03-08', '2017-03-10']]","[83.46568241986003, 43.926876944378094]",127.39255936423812,63.69627968211906
frc1058,1058,PVC Pirates,2003,03053,188.0,14.0,New Hampshire,2017,2017ne,583.0,92053.0,"(42.9, -71.4)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[29.24705600957094, 28.808777251249097, 8.24665017122789]",66.30248343204792,22.10082781068264
frc1071,1071,MAX,2003,06716,147.0,25.0,Connecticut,2017,2017ne,816.0,83993.0,"(41.6, -72.98)","[[41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[2.4295862929640037, 115.8329034454043, 149.1746610189475]",267.4371507573158,89.14571691910527
frc1073,1073,The Force Team,2003,03049,218.0,9.0,New Hampshire,2017,2017ne,242.0,113125.0,"(42.75, -71.58)","[[43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[42.37412878714052, 13.283781205592248, 13.456624935877988]",69.11453492861075,23.038178309536917
frc1099,1099,DiscoTechs,2003,06804,35.0,132.0,Connecticut,2017,2017ne,832.0,107008.0,"(41.47, -73.39)","[[41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[20.99763174068481, 100.71139446404455]",121.70902620472935,60.85451310236468
frc1100,1100,The T-Hawks,2003,01532,42.0,111.0,Massachusetts,2017,2017ne,766.0,108415.0,"(42.32, -71.63)","[[42.795007, -71.3225341, '2017-03-03', '2017-03-05'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[36.347734102293515, 27.934458583577953]",64.28219268587146,32.14109634293573
frc1124,1124,UberBots,2003,06001,48.0,96.0,Connecticut,2017,2017ne,784.0,113838.0,"(41.79, -72.86)","[[41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[15.448476869847488, 68.79437158955035]",84.24284845939783,42.12142422969892
frc1153,1153,The Revolution,2003,02081,181.0,18.0,Massachusetts,2017,2017ne,1031.0,93416.0,"(42.15, -71.26)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[29.482739601344655, 70.30363240979773, 21.32247742601178]",121.10884943715416,40.36961647905139
frc121,121,Rhode Warriors,1996,02842,65.0,69.0,Rhode Island,2017,2017ne,1268.0,69495.0,"(41.52, -71.28)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[35.735120107949875, 30.732411830936687]",66.46753193888657,33.23376596944328
frc1247,1247,"Blood, Sweat, and Gears",2004,03260,39.0,120.0,New Hampshire,2017,2017ne,33.0,73229.0,"(43.37, -71.94)","[[42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[36.66195023164433, 50.51325391436638]",87.17520414601071,43.58760207300536
frc125,125,NUTRONs,1998,02115,275.0,5.0,Massachusetts,2017,2017ne,40159.0,27134.0,"(42.34, -71.1)","[[42.4121531, -71.00789089999999, '2017-03-17', '2017-03-19'], [41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[6.857295311788149, 24.699117203664024, 129.33837340922764, 55.84347379784494, 36.647259080349095]",253.38551880287386,50.677103760574774
frc126,126,Gael Force,1992,01510,35.0,131.0,Massachusetts,2017,2017ne,2406.0,64723.0,"(42.41, -71.69)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[11.18353018226394, 34.63358972319819]",45.817119905462135,22.908559952731068
frc1277,1277,The Robotomies,2004,01450,23.0,155.0,Massachusetts,2017,2017ne,325.0,117127.0,"(42.62, -71.58)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[26.58344750201388, 48.28836649117853]",74.8718139931924,37.4359069965962
frc1289,1289,Gearheadz,2004,01843,49.0,90.0,Massachusetts,2017,2017ne,7249.0,42891.0,"(42.69, -71.16)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[11.035622752761862, 10.996429078272328]",22.032051831034188,11.016025915517094
frc1307,1307,Robosaints,2004,03820,41.0,113.0,New Hampshire,2017,2017ne,1082.0,57401.0,"(43.19, -70.89)","[[42.4121531, -71.00789089999999, '2017-03-17', '2017-03-19'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[54.02610688553694, 34.983397047528015]",89.00950393306496,44.50475196653248
frc131,131,C.H.A.O.S.,1992,03104,147.0,26.0,New Hampshire,2017,2017ne,3940.0,60468.0,"(43.02, -71.44)","[[43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[26.883975467093386, 6.992779945389986, 16.635493940902006]",50.51224935338537,16.83741645112846
frc133,133,B.E.R.T.,1997,04084,132.0,32.0,Maine,2017,2017ne,172.0,63657.0,"(43.8, -70.6)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[91.06058438838855, 28.363203755595773, 48.58315183523308]",168.0069399792174,56.002313326405805
frc1350,1350,The Rambots,2004,02908,37.0,126.0,Rhode Island,2017,2017ne,11854.0,42640.0,"(41.84, -71.44)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[35.50599134479072, 7.549438488115288]",43.05542983290601,21.527714916453004
frc138,138,Entropy,1996,03031,60.0,73.0,New Hampshire,2017,2017ne,324.0,110809.0,"(42.87, -71.61)","[[42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[6.527574744118027, 15.494872870025315]",22.022447614143342,11.011223807071671
frc1474,1474,Titans,2004,01876,17.0,174.0,Massachusetts,2017,2017ne,1401.0,90897.0,"(42.61, -71.23)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26']]","[8.070715297064796, 26.96258715610986]",35.033302453174656,17.516651226587328
frc151,151,Tough Techs,1992,03062,14.0,185.0,New Hampshire,2017,2017ne,2209.0,82826.0,"(42.73, -71.5)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26']]","[57.22267674213919, 14.33878388270938]",71.56146062484858,35.78073031242429
frc1512,1512,The Big Red,2005,03301,15.0,183.0,New Hampshire,2017,2017ne,667.0,51848.0,"(43.2, -71.5)","[[42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[18.16635483338605, 29.367100590397214]",47.533455423783266,23.766727711891633
frc1517,1517,AMP'D UP,2005,03301,51.0,88.0,New Hampshire,2017,2017ne,667.0,51848.0,"(43.2, -71.5)","[[42.4121531, -71.00789089999999, '2017-03-17', '2017-03-19'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[59.85888669215168, 29.367100590397214]",89.22598728254889,44.61299364127444
frc1519,1519,Mechanical Mayhem,2005,03055,285.0,3.0,New Hampshire,2017,2017ne,607.0,64162.0,"(42.82, -71.67)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[38.324390596661885, 114.80750115422153, 43.32434908825141]",196.45624083913484,65.48541361304494
frc155,155,The Technonuts,1994,06037,40.0,117.0,Connecticut,2017,2017ne,731.0,87736.0,"(41.6, -72.78)","[[41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [42.4121531, -71.00789089999999, '2017-03-17', '2017-03-19']]","[12.775634001431289, 107.06311538493856]",119.83874938636984,59.91937469318492
frc157,157,AZTECHS,1992,01752,51.0,87.0,Massachusetts,2017,2017ne,1845.0,70304.0,"(42.35, -71.55)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[37.83283321898706, 29.610723066463958]",67.44355628545102,33.72177814272551
frc166,166,Chop Shop,1995,03054,39.0,121.0,New Hampshire,2017,2017ne,783.0,88555.0,"(42.85, -71.52)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01']]","[42.386933184892236, 108.46149468648021]",150.84842787137245,75.42421393568623
frc1699,1699,Robocats,2005,06415,19.0,169.0,Connecticut,2017,2017ne,310.0,97656.0,"(41.5, -72.3)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19']]","[27.67905047085981, 94.10282945288047]",121.78187992374028,60.89093996187014
frc172,172,Northern Force,1996,04038,45.0,107.0,Maine,2017,2017ne,324.0,75833.0,"(43.7, -70.5)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01']]","[120.59013399285764, 31.02683955007691]",151.61697354293455,75.80848677146727
frc1721,1721,Tidal Force,2006,03301,150.0,24.0,New Hampshire,2017,2017ne,667.0,51848.0,"(43.2, -71.5)","[[42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26']]","[50.03616478696046, 28.876536162370005, 18.16635483338605]",97.07905578271652,32.35968526090551
frc1729,1729,Team Inconceivable!,2006,03458,25.0,150.0,New Hampshire,2017,2017ne,125.0,66406.0,"(42.9, -71.9)","[[42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[19.472732941827054, 30.212901929916104]",49.68563487174316,24.84281743587158
frc173,173,RAGE Robotics ⚙️,1995,06084,104.0,55.0,Connecticut,2017,2017ne,378.0,103696.0,"(41.88, -72.36)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[19.304268631920912, 78.49441865201949, 113.40121285809843]",211.19990014203884,70.39996671401295
frc1735,1735,Green Reapers,2006,01606,57.0,79.0,Massachusetts,2017,2017ne,3217.0,66912.0,"(42.31, -71.8)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26']]","[2.502647034303893, 45.5938729104363]",48.096519944740194,24.048259972370097
frc1740,1740,Ledyard Cyber Colonels,2006,06339,48.0,92.0,Connecticut,2017,2017ne,309.0,81368.0,"(41.44, -72.0)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [42.2744595, -71.8096745, '2017-03-08', '2017-03-10']]","[42.68890473223982, 58.42224529667648]",101.1111500289163,50.55557501445815
frc175,175,Buzz Robotics,1996,06082,55.0,81.0,Connecticut,2017,2017ne,1342.0,67191.0,"(41.98, -72.56)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [41.604199, -73.0265679, '2017-03-03', '2017-03-05']]","[16.51141342974382, 35.40273973073252]",51.91415316047634,25.95707658023817
frc1757,1757,Wolverines,2006,02090,105.0,53.0,Massachusetts,2017,2017ne,1343.0,128984.0,"(42.22, -71.2)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[19.045321756719428, 64.91152510524049, 26.986378725255324]",110.94322558721524,36.98107519573841
frc176,176,Aces High,1996,06096,47.0,101.0,Connecticut,2017,2017ne,1302.0,66583.0,"(41.93, -72.65)","[[41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[29.734464720217822, 57.302660638402166]",87.03712535861999,43.518562679309994
frc1761,1761,STEAMpunk Tigers,2006,01902,43.0,110.0,Massachusetts,2017,2017ne,18784.0,37275.0,"(42.47, -70.94)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [42.53460860000001, -71.10908049999999, '2017-03-17', '2017-03-19']]","[33.165551482484034, 9.719151532287361]",42.8847030147714,21.4423515073857
frc1768,1768,RoboChiefs,2006,01740,48.0,95.0,Massachusetts,2017,2017ne,245.0,146029.0,"(42.44, -71.6)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [44.09559299999999, -70.20511809999999, '2017-03-30', '2017-04-01'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[15.676858257939664, 134.21067142808965, 35.956528720068384]",185.8440584060977,61.948019468699236
frc177,177,Bobcat Robotics,1995,06074,155.0,23.0,Connecticut,2017,2017ne,916.0,90499.0,"(41.83, -72.57)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[8.109366538711033, 28.287801235061465, 123.09945431949126]",159.49662209326374,53.16554069775458
frc178,178,The 2nd Law Enforcers,1997,06032,47.0,97.0,Connecticut,2017,2017ne,776.0,93810.0,"(41.73, -72.83)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [42.4121531, -71.00789089999999, '2017-03-17', '2017-03-19']]","[7.096127875393648, 13.373423991358075, 104.8598289132523]",125.32938078000402,41.776460260001336
frc1786,1786,The Robotics Team,2006,03444,48.0,94.0,New Hampshire,2017,2017ne,57.0,64911.0,"(42.89, -72.07)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[44.51422591551047, 72.19727621363042]",116.71150212914088,58.35575106457044
frc181,181,Birds Of Prey,1998,06106,89.0,63.0,Connecticut,2017,2017ne,9436.0,26752.0,"(41.74, -72.69)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[1.83158455210647, 19.77719380528797, 131.86487215413044]",153.47365051152488,51.157883503841624
frc1831,1831,Screaming Eagles,2006,03249,57.0,78.0,New Hampshire,2017,2017ne,183.0,63527.0,"(43.6, -71.4)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [42.795007, -71.3225341, '2017-03-03', '2017-03-05']]","[112.96786934751142, 55.707998048496265]",168.67586739600767,84.33793369800384
frc190,190,Gompei and the H.E.R.D.,1992,01609,90.0,62.0,Massachusetts,2017,2017ne,5870.0,40660.0,"(42.28, -71.83)","[[42.2744595, -71.8096745, '2017-03-08', '2017-03-10'], [41.9210684, -71.5382698, '2017-03-24', '2017-03-26']]","[1.1097912900043452, 28.957737408417113]",30.06752869842146,15.03376434921073
frc1922,1922,Oz-Ram,2006,03229,111.0,48.0,New Hampshire,2017,2017ne,129.0,81250.0,"(43.2, -71.7)","[[41.9911025, -70.993044, '2017-03-10', '2017-03-12'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08'], [42.9372265, -71.51953639999999, '2017-03-24', '2017-03-26']]","[90.89879744139812, 38.903821293146784, 20.309046447880377]",150.11166518242527,50.03722172747509
frc195,195,CyberKnights,1998,06489,315.0,2.0,Connecticut,2017,2017ne,1153.0,79748.0,"(41.6, -72.88)","[[41.7652258, -72.7010105, '2017-03-31', '2017-04-02'], [41.604199, -73.0265679, '2017-03-03', '2017-03-05'], [43.1397577, -70.9344539, '2017-04-05', '2017-04-08']]","[14.68935238011906, 7.597824352017034, 145.62930991541657]",167.91648664755266,55.97216221585089
